raw_team_name,raw_grade_name,clean_team_name,clean_grade_name,canonical_team_label,canonical_grade_label,team_grade_display,season
NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,Jack Kelly Shield,,Jack Kelly Shield,Jack Kelly Shield,Summer 2020/21
"NMCA - Les Kemp Shield - ""E"" Grade","NMCA - Les Kemp Shield - ""E"" Grade",NMCA - Les Kemp Shield - E Grade,E Grade - Les Kemp Shield,,E Grade - Les Kemp Shield,E Grade - Les Kemp Shield,Summer 2020/21
NMCA - Robert Young - Designated One Day Comp.,NMCA - Robert Young - Designated One Day Comp.,NMCA - Robert Young - Designated One Day Comp.,DODC - Robert Young Shield,,DODC - Robert Young Shield,DODC - Robert Young Shield,Summer 2020/21
"NMCA - Bob Herman Shield - ""D"" Grade","NMCA - Bob Herman Shield - ""D"" Grade",NMCA - Bob Herman Shield - D Grade,D Grade - Bob Herman Shield,,D Grade - Bob Herman Shield,D Grade - Bob Herman Shield,Summer 2021/22
NMCA - Jack Quick Shield,NMCA - Jack Quick Shield,NMCA - Jack Quick Shield,Jack Quick Shield,,Jack Quick Shield,Jack Quick Shield,Summer 2021/22
"NMCA - Les Kemp Shield - ""E"" Grade","NMCA - Les Kemp Shield - ""E"" Grade",NMCA - Les Kemp Shield - E Grade,E Grade - Les Kemp Shield,,E Grade - Les Kemp Shield,E Grade - Les Kemp Shield,Summer 2021/22
"NMCA - Syd Sault Shield - ""F"" Grade","NMCA - Syd Sault Shield - ""F"" Grade",NMCA - Syd Sault Shield - F Grade,F Grade - Syd Sault Shield,,F Grade - Syd Sault Shield,F Grade - Syd Sault Shield,Summer 2021/22
NMCA - Jack Quick Shield,NMCA - Jack Quick Shield,NMCA - Jack Quick Shield,Jack Quick Shield,,Jack Quick Shield,Jack Quick Shield,Summer 2022/23
"NMCA - Les Horne Shield - ""C"" Grade","NMCA - Les Horne Shield - ""C"" Grade",NMCA - Les Horne Shield - C Grade,C Grade - Les Horne Shield,,C Grade - Les Horne Shield,C Grade - Les Horne Shield,Summer 2022/23
"NMCA - Les Kemp Shield - ""E"" Grade","NMCA - Les Kemp Shield - ""E"" Grade",NMCA - Les Kemp Shield - E Grade,E Grade - Les Kemp Shield,,E Grade - Les Kemp Shield,E Grade - Les Kemp Shield,Summer 2022/23
Fiji Victorian CC 1st XI,02 - Jack Quick Shield,1s,Jack Quick Shield,1s,Jack Quick Shield,1s (Jack Quick Shield),Summer 2023/24
Fiji Victorian CC 2nd XI,"04 - ""B"" Grade",2s,B Grade - John Adams Shield,2s,B Grade - John Adams Shield,2s (B Grade - John Adams Shield),Summer 2023/24
Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",3s,C Grade - Les Horne Shield,3s,C Grade - Les Horne Shield,3s (C Grade - Les Horne Shield),Summer 2023/24
Fiji Victorian CC OD,08 - Robert Young DODC,OD,DODC - Robert Young Shield,OD,DODC - Robert Young Shield,OD (DODC - Robert Young Shield),Summer 2023/24
Fiji Victorian CC 1st XI,02 - Jack Quick Shield,1s,Jack Quick Shield,1s,Jack Quick Shield,1s (Jack Quick Shield),Summer 2024/25
Fiji Victorian CC 2nd XI,03 - Jack Kelly Shield,2s,Jack Kelly Shield,2s,Jack Kelly Shield,2s (Jack Kelly Shield),Summer 2024/25
Fiji Victorian CC 3rd XI,"05 - ""C"" Grade",3s,C Grade - Les Horne Shield,3s,C Grade - Les Horne Shield,3s (C Grade - Les Horne Shield),Summer 2024/25
Fiji Victorian CC OD,08 - Robert Young DODC,OD,DODC - Robert Young Shield,OD,DODC - Robert Young Shield,OD (DODC - Robert Young Shield),Summer 2024/25
Fiji Victorian CC 1st XI,01 - Jika Shield,1s,Jika Shield,1s,Jika Shield,1s (Jika Shield),Summer 2025/26
Fiji Victorian CC 2nd XI,02 - Jack Quick Shield,2s,Jack Quick Shield,2s,Jack Quick Shield,2s (Jack Quick Shield),Summer 2025/26
Fiji Victorian CC 3rd XI,"04 - ""B"" Grade",3s,B Grade - John Adams Shield,3s,B Grade - John Adams Shield,3s (B Grade - John Adams Shield),Summer 2025/26
Fiji Victorian CC 4th XI,"05 - ""C"" Grade",4s,C Grade - Les Horne Shield,4s,C Grade - Les Horne Shield,4s (C Grade - Les Horne Shield),Summer 2025/26
North Division,North Division,North Division,North Division (Winter),,North Division (Winter),North Division (Winter),Winter 2019
North Division - Bhatia Shield,North Division - Bhatia Shield,North Division - Bhatia Shield,North Division - Bhatia Shield (Winter),,North Division - Bhatia Shield (Winter),North Division - Bhatia Shield (Winter),Winter 2021
North Division - SUNDAY,North Division - SUNDAY,North Division - SUNDAY,North Division - SUNDAY (Winter),,North Division - SUNDAY (Winter),North Division - SUNDAY (Winter),Winter 2021
North Division - Bhatia Shield,North Division - Bhatia Shield,North Division - Bhatia Shield,North Division - Bhatia Shield (Winter),,North Division - Bhatia Shield (Winter),North Division - Bhatia Shield (Winter),Winter 2022
North Division - SUNDAY,North Division - SUNDAY,North Division - SUNDAY,North Division - SUNDAY (Winter),,North Division - SUNDAY (Winter),North Division - SUNDAY (Winter),Winter 2022
Winter XI,North Division,Winter,North Division (Winter),Winter,North Division (Winter),North Division (Winter),Winter 2025
Winter XI,North Division,Winter,North Division (Winter),Winter,North Division (Winter),North Division (Winter),Winter 2026
