season_id,season_name,team_id,team_name,grade_name,total_matches_found,completed_matches,scorecards_fetched,matches_with_ball_by_ball,matches_without_ball_by_ball,matches_with_officials,total_batting_rows,total_bowling_rows,total_fielding_rows,total_fall_of_wickets_rows,total_ball_events,validation_pass_count,validation_warning_count,validation_error_count,raw_data_size_mb
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,c3859c82-3451-460a-a8af-f55240f3fec9,Fiji Victorian CC 3rd XI,"04 - ""B"" Grade",12,11,11,9,2,3,219,142,70,80,4938,180,16,0,5.606
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,279aa49f-e6a9-4085-9db7-098edac9c90e,Fiji Victorian CC 4th XI,"05 - ""C"" Grade",10,8,8,5,3,0,152,95,27,71,2193,127,8,0,2.571
