match_id,innings_id,team_id,participant_id,player_name,player_short_name,bat_order,bat_instance,runs_scored,balls_faced,fours_scored,sixes_scored,strike_rate,batting_minutes,dismissal_type_id,dismissal_type,dismissal_text,bowler_participant_id,fielder_participant_id,fielder_assist_participant_id
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,Blake Gillett,B Gillett,5,1,8,23,1,0,34.78,0,4,Bowled,b: S Vikash,d7f93a87-6b05-4830-a524-41457fd00603,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,7875ed67-05b0-447d-b9c7-24c83ab142be,Haydn Gillett,H Gillett,6,1,24,14,2,2,171.42,0,1,Not Out,not out,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,d7ef8088-f5e7-4fa0-acf7-a71031d6acf7,Tate Volitakis,T Volitakis,7,1,5,9,1,0,55.55,0,1,Not Out,not out,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,a5c46439-79f2-4195-a7b6-5868aebdd894,Charlie Mitchell,C Mitchell,8,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,6658c293-e794-44fb-bccf-5b798fbe5a0a,Daniel Castrucci,D Castrucci,9,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,7177f488-c332-4239-924a-bf232f16d3a6,Finn Nielsen,F Nielsen,10,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,6b44b227-779d-4d06-a30e-958d00f39c20,3f94b948-cb92-49f3-a46d-7c4dbfce1823,Michael Sortino,M Sortino,11,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,dcbfab3f-24d3-4add-be5d-6946adb5d18b,Kieran Bhan,K Bhan,1,1,2,25,0,0,8.00,0,3,LBW,lbw: M Sortino,3f94b948-cb92-49f3-a46d-7c4dbfce1823,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,Baurel Dmello,B Dmello,2,1,4,14,1,0,28.57,0,6,Run Out,run out (F Nielsen),3f94b948-cb92-49f3-a46d-7c4dbfce1823,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,J Bhan,3,1,27,32,5,0,84.37,0,2,Caught,c: F Nielsen b: B Gillett,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,7177f488-c332-4239-924a-bf232f16d3a6,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,Harish Kumar,H Kumar,4,1,1,18,0,0,5.55,0,6,Run Out,"run out (F Nielsen, D Wilson)",7875ed67-05b0-447d-b9c7-24c83ab142be,7177f488-c332-4239-924a-bf232f16d3a6,e4e20dbb-d6c4-4283-be99-93a2565de142
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Akshat Bodele,A Bodele,5,1,47,124,6,1,37.90,0,2,Caught,c: Z Wilkes b: M Sortino,3f94b948-cb92-49f3-a46d-7c4dbfce1823,85f787ea-08da-4232-9d7b-59cbe102533d,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Shandil Bhan,S Bhan,6,1,7,20,1,0,35.00,0,2,Caught,c: F Nielsen b: T Volitakis,d7ef8088-f5e7-4fa0-acf7-a71031d6acf7,7177f488-c332-4239-924a-bf232f16d3a6,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,54d16991-caa8-47b8-b59b-a67740c0df8d,Kalpeshkumar Patel,K Patel,7,1,0,2,0,0,0.00,0,2,Caught,c:  b: T Volitakis,d7ef8088-f5e7-4fa0-acf7-a71031d6acf7,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,7b43011a-eb05-448f-93c9-644481721a69,Jude Mendiz,J Mendiz,8,1,14,21,3,0,66.66,0,2,Caught,c&b: B Gillett,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,Sajendra Shrestha,S Shrestha,9,1,58,103,7,0,56.31,0,1,Not Out,not out,,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,722ca954-11e3-4053-8a81-ad7f435339d5,Balaji Viswanathan,B Viswanathan,10,1,26,14,5,1,185.71,0,2,Caught,c: M Sortino b: Z Wilkes,85f787ea-08da-4232-9d7b-59cbe102533d,3f94b948-cb92-49f3-a46d-7c4dbfce1823,
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,d7f93a87-6b05-4830-a524-41457fd00603,Shaun Vikash,S Vikash,11,1,15,31,2,0,48.38,0,1,Not Out,not out,,,
