canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,match_count,overs,avg,eco,sr
raw_6dafae49_e951_4b24_a74a_d5d1ab49db67,Muhammad Nauman,Muhammad Nauman,T20,Death,3,42,3,15,2,7.0,5.0,2.142857142857143,14.0
raw_6dafae49_e951_4b24_a74a_d5d1ab49db67,Muhammad Nauman,Muhammad Nauman,Two Day,New Ball,1,49,3,47,2,8.1,15.666666666666666,5.755102040816326,16.333333333333332
raw_6dafae49_e951_4b24_a74a_d5d1ab49db67,Muhammad Nauman,Muhammad Nauman,Two Day,Older Ball,2,42,3,15,2,7.0,5.0,2.142857142857143,14.0
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,One Day,Opening,1,198,4,111,9,33.0,27.75,3.3636363636363638,49.5
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,One Day,Middle,2,193,4,86,9,32.1,21.5,2.673575129533679,48.25
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,One Day,Death,3,51,2,14,3,8.3,7.0,1.6470588235294117,25.5
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,T20,Opening,1,120,2,71,7,20.0,35.5,3.55,60.0
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,T20,Middle,2,192,5,94,7,32.0,18.8,2.9375,38.4
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,T20,Death,3,130,3,46,7,21.4,15.333333333333334,2.123076923076923,43.333333333333336
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,Two Day,New Ball,1,288,5,155,9,48.0,31.0,3.2291666666666665,57.6
nikhil_sawant,Nikhil Sawant,Nikhil Sawant,Two Day,Older Ball,2,154,5,56,9,25.4,11.2,2.1818181818181817,30.8
raw_661bdd19_e67a_4978_a255_36e16789ab1f,Nitin Tanwar,Nitin Tanwar,One Day,Middle,2,6,0,4,1,1.0,,4.0,
raw_661bdd19_e67a_4978_a255_36e16789ab1f,Nitin Tanwar,Nitin Tanwar,T20,Death,3,6,0,4,1,1.0,,4.0,
raw_661bdd19_e67a_4978_a255_36e16789ab1f,Nitin Tanwar,Nitin Tanwar,Two Day,Older Ball,2,6,0,4,1,1.0,,4.0,
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,One Day,Opening,1,24,1,16,1,4.0,16.0,4.0,24.0
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,One Day,Middle,2,223,10,156,9,37.1,15.6,4.197309417040358,22.3
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,One Day,Death,3,84,3,98,5,14.0,32.666666666666664,7.0,28.0
raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,T20,Opening,1,18,0,13,1,3.0,,4.333333333333333,
