season,season_sort_key,player_name,team,grade,matches,innings,not_outs,runs,high_score,average,strike_rate,30s,50s,100s,ducks,fours,sixes,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1929/30,192900,T Whittaker,Georges River DCC,Historical club summary,,22,6,109,25,6.8125,,,,,,,,1929-30,52,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,W Dalton,Georges River DCC,Historical club summary,,11,,25,,2.272727273,,,,,,,,1929-30,36,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,W Fleming,Georges River DCC,Historical club summary,,13,1,41,17,3.416666667,,,,,,,,1929-30,38,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,W Ives,Georges River DCC,Historical club summary,,2,,3,,1.5,,,,,,,,1929-30,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,W Ives,Georges River DCC,Historical club summary,,7,,12,,1.714285714,,,,,,,,1929-30,41,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,W Lofberg,Georges River DCC,Historical club summary,,7,,23,,3.285714286,,,,,,,,1929-30,16,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,W Lofberg,Georges River DCC,Historical club summary,,5,,25,,5,,,,,,,,1929-30,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,W Tate,Georges River DCC,Historical club summary,,6,,14,,2.333333333,,,,,,,,1929-30,51,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,W Vale,Georges River DCC,Historical club summary,,19,3,78,19,4.875,,,,,,,,1929-30,25,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,14 5,Georges River DCC,Historical club summary,,6,2,47,1,,,,,,,,,1930-31,58,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Glasspool,Georges River DCC,Historical club summary,,2,,8,7,4,,,,,,,,1930-31,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
