match_id,season,grade_name,round_name,match_date,club_team_id,club_team_name,fvcc_team_name,opponent_team_name,captain_name,result_text,result_margin_display,venue_name,scoreboard_url,confidence,detection_reason
23d0245c-ec19-4344-8034-5249f13aca92,Summer 2022/23,SECA Fri 14C Central,Grand Final,2023-03-18T03:30:00.0000000+11:00,97d259be-7af0-4493-ae45-1db0f22da17d,Le Page Park 3,Le Page Park 3,Mackie 2,Harvey Gostlow,Le Page Park 3 won by 2 wickets,Won by 2 wickets,Mackie Road Reserve,https://play.cricket.com.au/match/23d0245c-ec19-4344-8034-5249f13aca92?tab=scorecard,high,completed Grand Final result names active club as winner
6eecc44a-520b-4676-9fe7-22e66e37155c,Summer 2022/23,SECA Fri 16A,Grand Final,2023-03-18T03:30:00.0000000+11:00,ed74a027-040e-4cdf-8bcc-ee096a232c07,Le Page Park 1,Le Page Park 1,Beaumaris 1,,Le Page Park 1 won by 8 wickets,Won by 8 wickets,Le Page Reserve,https://play.cricket.com.au/match/6eecc44a-520b-4676-9fe7-22e66e37155c?tab=scorecard,high,completed Grand Final result names active club as winner
20f6f31b-3071-4e70-b22f-a21ea3901f82,Summer 2022/23,SECA Sat 12C South,Grand Final,2023-03-18T19:30:00.0000000+11:00,7af1cdba-df0b-474d-9773-80caeda897dc,Le Page Park 2,Le Page Park 2,St Brigid's/St Louis 1,Lachlan Drew,Le Page Park 2 won by 2 wickets,Won by 2 wickets,Browns Reserve,https://play.cricket.com.au/match/20f6f31b-3071-4e70-b22f-a21ea3901f82?tab=scorecard,high,completed Grand Final result names active club as winner
0c07eaa0-16aa-4f56-855d-62f16a8030fb,Summer 2022/23,SECA Wed U18 T20,Grand Final,2023-02-02T03:45:00.0000000+11:00,82be5696-8d9d-44c4-b0dc-df5b3fc53ac8,Le Page Park,Le Page Park,Aspendale,Jackson O'Meara,Le Page Park won by 56 runs,Won by 56 runs,Glen Street Reserve,https://play.cricket.com.au/match/0c07eaa0-16aa-4f56-855d-62f16a8030fb?tab=scorecard,high,completed Grand Final result names active club as winner
b9a5f96e-dab1-4a00-b678-b1006d4be495,Summer 2025/26,U16A Sunday - Annabel Sutherland Shield,Grand Final,2026-03-08T08:30:00.0000000+11:00,8beeed4d-862f-4f85-bcf5-f19bb1671988,Le Page Park (Sun U16),Le Page Park (Sun U16),Mackie (Sun U16),Ruby Aldridge,Le Page Park (Sun U16) won by 4 wickets,Won by 4 wickets,Mackie Road Reserve,https://play.cricket.com.au/match/b9a5f96e-dab1-4a00-b678-b1006d4be495?tab=scorecard,high,completed Grand Final result names active club as winner
f8093b4d-11ae-4c03-bf7c-c93a6f5974ba,Summer 2025/26,U18B Tuesday,Grand Final,2026-03-03T17:00:00.0000000+11:00,75a1fc48-d604-4e64-8614-511a939920dd,Le Page Park (Tue U18) B,Le Page Park (Tue U18) B,Brighton / Hampton Central (Tues U18),Matilda Lloyd,Le Page Park (Tue U18) B won by 3 wickets,Won by 3 wickets,Le Page Reserve,https://play.cricket.com.au/match/f8093b4d-11ae-4c03-bf7c-c93a6f5974ba?tab=scorecard,high,completed Grand Final result names active club as winner
