season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes,record_scope,match_count_policy_note
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2b4ccf9a-bd2b-419c-a56a-6a6ab2bb0c04,Glen Waverley Hawks - 1st XI,4785e9ee-4630-4793-a8ef-05e67d92de8c,3. Compare & Conect Dorothy McIntosh Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Compare & Conect Dorothy McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,True,record_scope=Senior/open; mapping requires POC review,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,f31d3fa3-bf9b-4843-8360-bac24733eab8,Glen Waverley Hawks - 2nd XI,137a77ff-9d7b-47e8-b23f-4c5dfc689ef6,"C Grade (70 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,C Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,979d354a-afe5-4f98-bf03-0224bbcf7a14,Glen Waverley Hawks - 3rd XI,b0995a71-9d75-4331-803c-9dd4ffbab4be,"D Grade (64 Overs, 12 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,D Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,cc30f797-52b5-4072-8a4c-9af819e42940,Glen Waverley Hawks - T20 (1),d60d6c46-2a8a-4f2f-a8b8-de9c7d5721d1,T20 A - Kookaburra Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,T20 A,T20,T20,T20,Open,Open/Mixed,300,False,False,True,False,record_scope=T20,T20,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,fb737693-357c-47f9-ae48-d6a9dc19b2e9,Glen Waverley Hawks T20 2nd XI,e26ac918-e84a-4beb-8fc7-5e22cee34f22,T20 E - Field of View Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,T20 E - Field of View Shield,T20,T20,T20,Open,Open/Mixed,300,False,False,True,False,record_scope=T20,T20,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,979633a0-461c-4544-90e8-888e13a00b69,Glen Waverley Hawks - Under 13's (1),6b05db63-fd65-4210-b236-90ef3e6e11f7,U13B Saturday - Fischer Shield,6302207e-7132-ec11-981f-501ac52e1666,Cricket Southern Bayside,U13B Saturday - Fischer Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,0b4bf9ce-9b73-44c8-9ad9-c5f22f5d0c84,Glen Waverley Hawks - Under 13's (2),34ad6171-0942-4d38-9004-f54787b48225,U13C Saturday - Halvy Shield,6302207e-7132-ec11-981f-501ac52e1666,Cricket Southern Bayside,U13C Saturday - Halvy Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,066aaa87-b330-4f9d-8c63-03d07ed4d1b3,Glen Waverley Hawks Girls Stage 1 - Spirit,8b8f6f5f-8f90-4002-87ed-7d098ffbf73a,Girls Stage 1 - Spirit (OTLR),ef01277d-8ad8-eb11-a7ad-2818780da0cc,Ringwood District Cricket Association Inc.,Girls Stage 1 - Spirit (OTLR),Senior women/girls,Senior/open,One Day,Open,Women/Girls,200,False,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,fb2674e7-c36e-4ae3-bd49-2a58977a332f,Glen Waverley Hawks - 1st XI,a9080e9f-632a-4365-af35-404995f557d6,"1 - Ray McIntosh Shield (80 Overs, 11 Players)",665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,Ray McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,True,False,True,False,record_scope=Senior/open,Senior/open,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,84a57d62-31d8-4d14-98f0-fc1c517b4146,Glen Waverley Hawks - 1st XI,2280e609-5101-4b72-8bfb-6d60700f5841,T20 A Grade - Kookaburra Shield,665c8895-6732-ec11-981f-501ac52e1666,Box Hill Reporter District Cricket Association,T20 A Grade,T20,T20,T20,Open,Open/Mixed,300,False,False,True,False,record_scope=T20,T20,* Hawks match counts apply club rules: T20 = 0.5 match; no-play games are excluded.
