raw_grade_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes
U13B Saturday - Halvy Shield,U13B Saturday - Halvy Shield,Junior,Junior,Junior,U13,Open/Mixed,650,false,true,true,false,record_scope=Junior
U13C Saturday - Halvy Shield,U13C Saturday - Halvy Shield,Junior,Junior,Junior,U13,Open/Mixed,650,false,true,true,false,record_scope=Junior
Wilson Shield Grade 2nds,Wilson Shield Grade 2nds,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,true,record_scope=Senior/open; mapping requires POC review
Girls Stage 1 - Spirit,Girls Stage 1 - Spirit,Junior,Junior,Junior,Entry junior,Women/Girls,800,false,true,true,false,record_scope=Junior
Girls Stage 1 - Spirit (OTLR),Girls Stage 1 - Spirit (OTLR),Junior,Junior,Junior,Entry junior,Women/Girls,800,false,true,true,false,record_scope=Junior
T20 A - Kookaburra Shield,T20 A,T20,T20,T20,Open,Open/Mixed,300,false,false,true,false,record_scope=T20
T20 A Grade - Kookaburra Shield,T20 A Grade,T20,T20,T20,Open,Open/Mixed,300,false,false,true,false,record_scope=T20
T20 E - Field of View Shield,T20 E - Field of View Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,false,record_scope=T20
T20 E Grade - Field of View Shield,T20 E Grade - Field of View Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,false,record_scope=T20
T20 F Grade - SEDA College Shield,T20 F Grade - SEDA College Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,false,record_scope=T20
Twenty20 ANZ Bank Shield,Twenty20 ANZ Bank Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Club Builder Shield,Twenty20 Club Builder Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Mulgrave Country Club Shield,Twenty20 Mulgrave Country Club Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Rebel Sport Shield,Twenty20 Rebel Sport Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 SEDA College Shield,Twenty20 SEDA College Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Storage King Mitcham Shield,Twenty20 Storage King Mitcham Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Topline Cricket Shield,Twenty20 Topline Cricket Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Twenty20 Track On Shield,Twenty20 Track On Shield,T20,T20,T20,Open,Open/Mixed,300,false,false,true,true,record_scope=T20; mapping requires POC review
Under 18 Friday (Gold),U18 Friday (Gold),Junior,Junior,Junior,U18,Open/Mixed,400,false,true,true,false,record_scope=Junior
Under 18 Friday - Gold,U18 Friday - Gold,Junior,Junior,Junior,U18,Open/Mixed,400,false,true,true,false,record_scope=Junior
Under 16 - Friday Night,U16 - Friday Night,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 A Friday - Ron Hennessey Shield,U16 A Friday - Ron Hennessey Shield,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 A Grade (77/78 to 2000),U16 A Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 A-Sth,U16 A-Sth,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 B Friday,U16 B Friday,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 Fri B Grade (Blue),U16 Friday B Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 Sat A Grade,U16 Saturday A Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 Sat A Grade (pre 2006),U16 Saturday A Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 Sat B Grade,U16 Saturday B Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Under 16 Sat C Grade,U16 Saturday C Grade,Junior,Junior,Junior,U16,Open/Mixed,500,false,true,true,false,record_scope=Junior
Modern Orthodontics Under 14 - Friday Gold,U14 - Friday Gold,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 A Grade (77/78 to 2000),U14 A Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Modern Orthodontics U14 - B Grade,U14 B Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 B Grade (77/78 to 2000),U14 B Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 B-Sth,U14 B-Sth,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 C-Nth,U14 C-Nth,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 C-Sth,U14 C-Sth,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Modern Orthodontics U14 - D Grade,U14 D Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Fri A Grade,U14 Friday A Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Fri B Grade (Blue),U14 Friday B Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Fri B Grade (Gold),U14 Friday B Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Fri Gold,U14 Friday Gold,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Sat A Grade,U14 Saturday A Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
Under 14 Sat B Grade,U14 Saturday B Grade,Junior,Junior,Junior,U14,Open/Mixed,600,false,true,true,false,record_scope=Junior
