match_id,innings_id,team_id,participant_id,player_name,player_short_name,catches,run_outs,stumpings,assisted_run_outs
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,100b60f9-15ab-4d35-9626-be4212a5d0e2,Rama Suravajjula,R Suravajjula,1,0,0,0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,J Bhan,1,0,0,0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,6b74d336-b105-407c-b4ef-f68e2fba7862,Damandeep Sehra,D Sehra,1,0,0,0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Akshat Bodele,A Bodele,1,0,0,0
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,2455adf0-f6ca-4803-839d-f58c1cf154dd,6034fc58-72fb-4039-88af-a1f053a9f03b,Sai Achyut Jonnalagadda,S Jonnalagadda,1,0,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,400e4752-f236-4ca7-93e9-fd8ebee6735e,Siddhanth Chaurasiya,S Chaurasiya,1,0,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f6dd9552-fbc5-4490-ac27-b50ff948f8f5,Priyanshu Tomar,P Tomar,1,0,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,8cc72ac1-93ab-43ad-a24f-fdcbf14da6a2,Kiran Tomy,K Tomy,2,2,0,1
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,S vadapalli,0,1,0,1
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,J Bhan,0,1,0,1
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,b0d2ee4c-be8f-4a75-b138-0740a52970c6,284746be-31ae-4e0e-82f8-d234412e08c4,Kieran Bhan,K Bhan,0,1,0,1
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,f121f9ce-13ef-4518-b214-4b2066595145,6b6a02e6-17c8-4251-8a40-b6a149750ed1,Anup John,A John,0,1,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,f121f9ce-13ef-4518-b214-4b2066595145,3246f837-b17e-4e5b-a876-3fce120e9c69,Angad Singh,A Singh,1,0,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,f121f9ce-13ef-4518-b214-4b2066595145,06b9a8f8-7454-4175-93f4-226985e8b20e,Aaronjit Singh Multani,A Multani,0,1,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,f121f9ce-13ef-4518-b214-4b2066595145,d06f79f2-6c0b-4e69-bfae-d3a101d99191,Vikramjit Multani,V Multani,1,1,0,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,f121f9ce-13ef-4518-b214-4b2066595145,b84e5b9f-9d0e-4fdd-aa8d-e2f3240d0b8b,Yash Balyan,Y Balyan,2,1,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,48a93c0e-26d3-4306-8718-1def7b60b80c,1977fa7e-f689-4fee-b28e-a9aa92a3a15c,04e7a985-6b15-448d-95bd-66323490e8aa,Moiz Ahmed,M Ahmed,0,1,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,48a93c0e-26d3-4306-8718-1def7b60b80c,1977fa7e-f689-4fee-b28e-a9aa92a3a15c,e79d97cc-d0c4-4db1-9eeb-685329698149,Mehdi Faiyaz,M Faiyaz,1,0,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,48a93c0e-26d3-4306-8718-1def7b60b80c,1977fa7e-f689-4fee-b28e-a9aa92a3a15c,d646e128-a3e8-456a-bc6e-5b0d02f77999,Rizwan Malik,R Malik,0,0,1,0
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Akshat Bodele,A Bodele,1,0,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,b0d2ee4c-be8f-4a75-b138-0740a52970c6,d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,A Datta,1,0,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,J Bhan,1,0,0,0
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7512873c-b6b6-49fe-80ff-3733b5abd044,Mohaneesh Pitre,M Pitre,1,1,0,1
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,b0d2ee4c-be8f-4a75-b138-0740a52970c6,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Shandil Bhan,S Bhan,3,0,0,0
4e5fbe6d-325e-4a21-9982-f080f8605615,4210509d-61eb-4b04-ab9f-88e9f8c7713a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f6dd9552-fbc5-4490-ac27-b50ff948f8f5,Priyanshu Tomar,P Tomar,1,0,0,0
4e5fbe6d-325e-4a21-9982-f080f8605615,4210509d-61eb-4b04-ab9f-88e9f8c7713a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,d1ed36b2-499d-4b65-95a3-6f3f51177415,Armaan Datta,A Datta,2,0,0,0
4e5fbe6d-325e-4a21-9982-f080f8605615,4210509d-61eb-4b04-ab9f-88e9f8c7713a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,S vadapalli,1,0,0,0
4e5fbe6d-325e-4a21-9982-f080f8605615,4210509d-61eb-4b04-ab9f-88e9f8c7713a,b0d2ee4c-be8f-4a75-b138-0740a52970c6,fa1b6803-3b25-4211-b5aa-d1ea9168d018,Aryan Datta,A Datta,2,0,0,0
