match_id,innings_id,batting_team_id,bowling_team_id,over_number,bowler_participant_id,bowler_short_name,runs,wickets,legal_balls,wides,no_balls,boundaries,run_rate_after_over
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2455adf0-f6ca-4803-839d-f58c1cf154dd,16,c589660b-1cc8-43a4-99e5-0c850588ea47,R Cheeti,3,1,6,0,0,0,4.88
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2455adf0-f6ca-4803-839d-f58c1cf154dd,17,67c01c6a-c4c5-46b1-9a79-3052b6b3c6b7,A Sharma,2,0,6,2,0,0,4.72
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2455adf0-f6ca-4803-839d-f58c1cf154dd,18,c589660b-1cc8-43a4-99e5-0c850588ea47,R Cheeti,6,1,6,0,0,1,4.79
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2455adf0-f6ca-4803-839d-f58c1cf154dd,19,67c01c6a-c4c5-46b1-9a79-3052b6b3c6b7,A Sharma,6,0,4,0,0,1,4.93
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,0,400e4752-f236-4ca7-93e9-fd8ebee6735e,S Chaurasiya,4,0,6,0,0,1,4.0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,1,6b74d336-b105-407c-b4ef-f68e2fba7862,D Sehra,1,0,6,0,0,0,2.5
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2,400e4752-f236-4ca7-93e9-fd8ebee6735e,S Chaurasiya,4,0,6,0,0,0,3.0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,3,6b74d336-b105-407c-b4ef-f68e2fba7862,D Sehra,10,1,6,0,0,2,4.75
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,4,400e4752-f236-4ca7-93e9-fd8ebee6735e,S Chaurasiya,1,0,6,0,0,0,4.0
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,5,6b74d336-b105-407c-b4ef-f68e2fba7862,D Sehra,2,0,6,0,0,0,3.67
