match_id,season,grade_name,round_name,match_date,club_team_id,club_team_name,fvcc_team_name,opponent_team_name,captain_name,result_text,result_margin_display,venue_name,scoreboard_url,confidence,detection_reason
482e6154-6523-494a-807c-6ac8f80072e5,Summer 2007/08,B2 Grade,Grand Final,2008-03-16T00:00:00.0000000+00:00,82c954ce-2734-4ea1-89dd-0aee73fea7ad,Reynella,Reynella,Adelaide HOS,Andrew Semple,Reynella won by 9 runs,Won by 9 runs,,https://play.cricket.com.au/match/482e6154-6523-494a-807c-6ac8f80072e5?tab=scorecard,high,completed Grand Final result names active club as winner
1a77c5bc-3848-4180-a0b9-ea12185d708b,Summer 2008/09,A3 Grade,Grand Final,2009-03-29T12:30:00.0000000+00:00,777b3028-97b3-418f-a4c4-1df29bab0b67,Reynella,Reynella,Flinders Park,John Hopkins,Reynella won by 45 runs,Won by 45 runs,,https://play.cricket.com.au/match/1a77c5bc-3848-4180-a0b9-ea12185d708b?tab=scorecard,high,completed Grand Final result names active club as winner
05ae1fcd-01b0-4175-893f-37b9011cc4e0,Summer 2011/12,ISC Teamwear LO Division 4,Grand Final,2012-03-24T12:30:00.0000000+00:00,f4ec17f9-a0b2-4ccb-9bff-b0b4928a2e5c,Reynella,Reynella,PAOC,Richard Gabb,Reynella won by 44 runs,Won by 44 runs,,https://play.cricket.com.au/match/05ae1fcd-01b0-4175-893f-37b9011cc4e0?tab=scorecard,high,completed Grand Final result names active club as winner
1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3,Summer 2012/13,A3 Grade,Grand Final,2013-03-24T12:30:00.0000000+00:00,edbe6c2b-e4c1-4172-ba98-a7d8bceb0f7d,Reynella,Reynella,St Peters Old Collegians,Rhys Allard,Reynella won by 1 wickets,Won by 1 wickets,,https://play.cricket.com.au/match/1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3?tab=scorecard,high,completed Grand Final result names active club as winner
3db4f68e-863f-4587-8b89-b1d3d3df32df,Summer 2012/13,B2 Grade,Grand Final,2013-03-24T12:30:00.0000000+00:00,45845bbd-df2d-4c08-a450-6dba80cd7648,Reynella,Reynella,St Peters Old Collegians,Adam Ellis,Reynella won by 6 wickets,Won by 6 wickets,,https://play.cricket.com.au/match/3db4f68e-863f-4587-8b89-b1d3d3df32df?tab=scorecard,high,completed Grand Final result names active club as winner
8de807a5-e259-4b54-b9a7-e7cab16b025e,Summer 2014/15,ISC Teamwear LO Division 4,Grand Final,2015-03-28T12:30:00.0000000+00:00,3f57b790-cb2f-4bc6-a311-0fb2b8577d07,Reynella,Reynella,Goodwood,Greg Harriss,Reynella won by 44 runs,Won by 44 runs,,https://play.cricket.com.au/match/8de807a5-e259-4b54-b9a7-e7cab16b025e?tab=scorecard,high,completed Grand Final result names active club as winner
cbd5794b-7217-42ce-835a-e0fc7c319dc0,Summer 2014/15,Sportscentre A2 Grade,Grand Final,2015-03-29T12:30:00.0000000+00:00,ec2e2a5c-7bde-4725-8190-c0f6d3c85c66,Reynella,Reynella,Walkerville,Richard Gabb,Reynella won,Won,,https://play.cricket.com.au/match/cbd5794b-7217-42ce-835a-e0fc7c319dc0?tab=scorecard,high,completed Grand Final result names active club as winner
ceed987b-30fc-475e-9132-7a6144eb44c5,Summer 2016/17,B1 Grade,Grand Final,2017-03-26T12:30:00.0000000+00:00,ee6de406-2c2e-489e-9be7-dfaf623023d3,Reynella,Reynella,Grange,Scott Trenorden,Reynella won by 155 runs,Won by 155 runs,,https://play.cricket.com.au/match/ceed987b-30fc-475e-9132-7a6144eb44c5?tab=scorecard,high,completed Grand Final result names active club as winner
9c2ca915-f12e-42d7-b9f1-222771e91b85,Summer 2016/17,Under 15 South Division 2,Grand Final,2017-03-19T13:00:00.0000000+00:00,e32a8f52-5c7a-46e3-abc6-f9af49c6f28d,Reynella,Reynella,Plympton Footballers,,Reynella won by 17 runs,Won by 17 runs,,https://play.cricket.com.au/match/9c2ca915-f12e-42d7-b9f1-222771e91b85?tab=scorecard,high,completed Grand Final result names active club as winner
da741544-58c6-4052-9f1b-17874345b283,Summer 2018/19,Womens 1st Grade 2019,Grand Final,2019-03-31T23:30:00.0000000+10:30,59586f2a-33c4-48a0-84fc-f9271e02526d,Reynella,Reynella,Payneham,Brooke Mullen,Reynella won by 3 wickets,Won by 3 wickets,Devitt Oval,https://play.cricket.com.au/match/da741544-58c6-4052-9f1b-17874345b283?tab=scorecard,high,completed Grand Final result names active club as winner
41526958-751c-4091-a082-eaf6938e0628,Summer 2020/21,Under 14 South Division 2,Grand Final,2021-03-15T07:00:00.0000000+10:30,70097974-d5aa-4728-ac19-293cae260a37,Reynella (2) Riley,Reynella (2) Riley,Unley (5),Harrison Glatter,Reynella (2) Riley won by 60 runs,Won by 60 runs,Reynella Oval,https://play.cricket.com.au/match/41526958-751c-4091-a082-eaf6938e0628?tab=scorecard,high,completed Grand Final result names active club as winner
