match_id,season,grade_name,round_name,match_date,club_team_id,club_team_name,fvcc_team_name,opponent_team_name,captain_name,result_text,result_margin_display,venue_name,scoreboard_url,confidence,detection_reason
e5c28182-4336-4add-a05e-bcd489c59ab1,Summer 2008/09,Third Grade,Grand Final,2009-04-05T09:30:00.0000000+00:00,9b32b289-ea80-4155-a1af-68b43f79b021,Georges River,Georges River,Lane Cove,Dave Jiffkins,Georges River won by 7 wickets,Won by 7 wickets,,https://play.cricket.com.au/match/e5c28182-4336-4add-a05e-bcd489c59ab1?tab=scorecard,high,completed Grand Final result names active club as winner
15437118-390d-4a2d-a433-7a301e4f09ba,Summer 2008/09,Tim Creer Cup,Grand Final,2009-03-28T11:00:00.0000000+00:00,7dadbed2-0467-4d4a-b1f9-e8cce35648a9,Georges River,Georges River,Lindfield Blue,Ramy Ykmour,Georges River won by 6 wickets,Won by 6 wickets,,https://play.cricket.com.au/match/15437118-390d-4a2d-a433-7a301e4f09ba?tab=scorecard,high,completed Grand Final result names active club as winner
c9781c8d-f443-408d-bdaa-ce6a50b392c3,Summer 2012/13,Fourth Grade,Grand Final,2013-03-31T10:00:00.0000000+00:00,1f068998-e566-43e7-b400-db97cd4391ae,Georges River,Georges River,Burwood Briars,Alex Economou,Georges River won by 2 wickets,Won by 2 wickets,,https://play.cricket.com.au/match/c9781c8d-f443-408d-bdaa-ce6a50b392c3?tab=scorecard,high,completed Grand Final result names active club as winner
e06a46d4-74ce-4f0b-bbbd-7d24d3270d99,Summer 2013/14,Fourth Grade,Grand Final,2014-03-30T10:00:00.0000000+00:00,a24d843f-a57d-4eeb-9ce9-5dfdc68c8953,Georges River,Georges River,Epping,Matt Ellis,Georges River won,Won,,https://play.cricket.com.au/match/e06a46d4-74ce-4f0b-bbbd-7d24d3270d99?tab=scorecard,high,completed Grand Final result names active club as winner
dbd93ffd-5dc3-4b46-95f7-f8da851c2e05,Summer 2014/15,Frank Gray Shield,Grand Final,2015-03-01T10:00:00.0000000+00:00,fc5cd4bb-ec84-46c2-a6e7-ec5cc90ab262,Georges River,Georges River,Warringah,Daniel Yates,Georges River won by 6 wickets,Won by 6 wickets,,https://play.cricket.com.au/match/dbd93ffd-5dc3-4b46-95f7-f8da851c2e05?tab=scorecard,high,completed Grand Final result names active club as winner
3d9f87cb-01b9-4ada-b8e8-00436fee077d,Summer 2015/16,Frank Gray Shield,Grand Final,2016-02-21T10:00:00.0000000+00:00,55f9ec2c-4a4a-4692-b089-f081f0374ac3,Georges River,Georges River,Epping,Daniel Yates,Georges River won by 7 wickets,Won by 7 wickets,,https://play.cricket.com.au/match/3d9f87cb-01b9-4ada-b8e8-00436fee077d?tab=scorecard,high,completed Grand Final result names active club as winner
48c02648-e9de-4029-b7b9-fa6691bc393a,Summer 2016/17,Frank Gray Shield,Grand Final,2017-02-19T10:00:00.0000000+00:00,4b64ee14-4900-4535-8f9f-28a9210b81ff,Georges River,Georges River,Mt Pritchard-Southern Districts,Benjamin Vella,Georges River won by 110 runs,Won by 110 runs,,https://play.cricket.com.au/match/48c02648-e9de-4029-b7b9-fa6691bc393a?tab=scorecard,high,completed Grand Final result names active club as winner
b6aba9e3-19a9-4c69-9389-bcc818e84dc5,Summer 2017/18,Third Grade,Grand Final,2018-03-25T10:30:00.0000000+00:00,985aee1a-d4da-4310-b61d-b55c95abdac9,Georges River,Georges River,Epping,Alex Economou,Georges River won by 7 wickets,Won by 7 wickets,,https://play.cricket.com.au/match/b6aba9e3-19a9-4c69-9389-bcc818e84dc5?tab=scorecard,high,completed Grand Final result names active club as winner
1f387468-81d6-4459-9962-35fd64dd9b71,Summer 2018/19,Frank Gray Shield,Grand Final,2019-02-17T21:00:00.0000000+11:00,8acb0b4b-c5a5-4994-80e3-7127de5ed319,Georges River,Georges River,Burwood Briars,Patrick Kennedy,Georges River won by 7 wickets,Won by 7 wickets,Bexley Oval,https://play.cricket.com.au/match/1f387468-81d6-4459-9962-35fd64dd9b71?tab=scorecard,high,completed Grand Final result names active club as winner
72778169-b055-4320-a382-7b7d4d42a50b,Summer 2023/24,First Grade Limited Overs,Grand Final,2024-02-25T10:00:00.0000000+11:00,b6b1cd38-7e11-4459-bc2d-8d83531c0fc7,Georges River 1st Grade L/O,Georges River 1st Grade L/O,Mt Pritchard Southern Districts 1st Grade L/O,Christopher Mcarthur,Georges River 1st Grade L/O won by 6 wickets,Won by 6 wickets,Bexley Oval,https://play.cricket.com.au/match/72778169-b055-4320-a382-7b7d4d42a50b?tab=scorecard,high,completed Grand Final result names active club as winner
