event_id,canonical_player_id,canonical_player_name,season,match_id,innings_id,innings_number,match_date,team_name,opponent,grade_name,delivery_sequence,dismissal_sequence,spans_overs,spans_innings,scorecard_wickets,evidence_source,confidence,scoreboard_url,source_coverage_note
fdbfbc23-1390-446e-8d2a-84d6d103585d:7a941702-d5de-49b4-9e42-95eb6bee0d5b:4d9b8fbc-bcbe-4525-8288-f1a2e9284242:94249e74-3fe7-4571-ad8a-8c0c9a10f399,raw_2ddc846e_5bc6_4882_a42e_a648c92c0adc,Daniel Yates,Summer 2019/20,fdbfbc23-1390-446e-8d2a-84d6d103585d,7a941702-d5de-49b4-9e42-95eb6bee0d5b,1,2019-11-16,Georges River,Burwood Briars,First Grade,49.4 · 49.5 · 49.6,Caught · LBW · Caught,False,False,5.0,PlayCricket ball-by-ball + batting scorecard dismissal reconciliation,high,https://play.cricket.com.au/match/fdbfbc23-1390-446e-8d2a-84d6d103585d,Hat-tricks identified from available verified ball-by-ball records.
adc31ab1-e60b-45c0-bfde-8f95847dc83b:c514eb2d-7cf1-47b1-8d75-7b399ef601b3:1c129d8d-e578-4266-b79f-9db81680deb9:dfb0b8df-e353-46e6-9f89-c636788ad3ab,raw_c4cf24bf_f442_4526_a792_f9b082abe672,Tom Jeffrey,Summer 2019/20,adc31ab1-e60b-45c0-bfde-8f95847dc83b,c514eb2d-7cf1-47b1-8d75-7b399ef601b3,2,2019-11-16,Georges River,Burwood Briars,Second Grade,14.5 · 14.6 · 16.1,Caught · Caught · LBW,True,False,5.0,PlayCricket ball-by-ball + batting scorecard dismissal reconciliation,high,https://play.cricket.com.au/match/adc31ab1-e60b-45c0-bfde-8f95847dc83b,Hat-tricks identified from available verified ball-by-ball records.
2dbe1ce2-d903-4a4e-9253-d0f6a4867f76:3fe90803-f1f0-4143-a5eb-e1c2719dc614:c0fa9691-4f22-424a-b3f8-c05807e77549:d2894129-40e6-4d3e-97a1-770193eacff9,raw_8092c0bf_034c_44c0_bd8a_c1a7584c0ffc,Bagath Singh,Summer 2023/24,2dbe1ce2-d903-4a4e-9253-d0f6a4867f76,3fe90803-f1f0-4143-a5eb-e1c2719dc614,1,2023-12-10,GRDCC,Strathfield CC Black,Chappelow Cup,20.4 · 20.5 · 20.6,Caught · Caught · Caught,False,False,5.0,PlayCricket ball-by-ball + batting scorecard dismissal reconciliation,high,https://play.cricket.com.au/match/2dbe1ce2-d903-4a4e-9253-d0f6a4867f76,Hat-tricks identified from available verified ball-by-ball records.
2f611091-9124-4e7a-b6c7-a53236d667bc:94524e0e-9bbc-46f5-bb55-6c479cf1a8b2:d6ee12b7-dac5-4b0e-a7c2-b05e35073c84:c84939a6-5fcd-4543-b3b8-a4cc0b61434b,raw_8edd439a_c016_40f1_a234_eba92732a260,Leroy Maurer,Summer 2023/24,2f611091-9124-4e7a-b6c7-a53236d667bc,94524e0e-9bbc-46f5-bb55-6c479cf1a8b2,1,2024-01-14,Georges River,Mount Pritchard Southern Districts,Frank Gray Shield (U24's),7.2 · 7.3 · 7.4,Caught · Bowled · Caught,False,False,6.0,PlayCricket ball-by-ball + batting scorecard dismissal reconciliation,high,https://play.cricket.com.au/match/2f611091-9124-4e7a-b6c7-a53236d667bc,Hat-tricks identified from available verified ball-by-ball records.
