match_id,innings_id,innings_number,innings_order,batting_team_id,bowling_team_id,over_number,bowler_participant_id,bowler_short_name,runs,wickets,legal_balls,wides,no_balls,boundaries,progress_runs_after_over,progress_wickets_after_over
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,35,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,0,0,6,0,0,0,91,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,36,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,0,0,6,0,0,0,91,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,37,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,0,0,6,0,0,0,91,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,38,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,0,0,6,0,0,0,91,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,39,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,4,0,6,0,0,0,95,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,40,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,4,0,6,0,0,1,99,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,41,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,1,0,6,0,0,0,100,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,42,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,1,0,6,0,0,0,101,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,43,7177f488-c332-4239-924a-bf232f16d3a6,F Nielsen,5,0,6,0,0,1,106,7
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6b44b227-779d-4d06-a30e-958d00f39c20,44,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,5,0,6,0,0,1,111,7
