season_id,season,team_id,team_name,grade_id,grade_name,competition_id,competition_name
6ee98e4e-eb86-4b50-8709-b1d163f4b312,Winter 2026,42497086-f6c1-4dce-9a32-b44d148d02e0,WINTER,ce30248b-4724-4f9f-920e-9dddd7306c3a,South Division - Saturday,9a5c8895-6732-ec11-981f-501ac52e1666,Mid Year Cricket Association
6ee98e4e-eb86-4b50-8709-b1d163f4b312,Winter 2026,b60675ac-e82c-482c-8004-9bd6d83cafcc,Women,73fdd64e-c4f9-4814-a42f-88d046e1c4da,MYCA Senior Women - Saturdays,9a5c8895-6732-ec11-981f-501ac52e1666,Mid Year Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,16819150-33be-4236-989d-a797bb3c454a,1st X1,65c93529-9afe-40d0-9dbc-f3b771dda81b,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,ecbd4071-e1f5-4a19-9450-f5f7830360d5,2nds X1,4c1b04ed-6556-4119-a3a8-9da8a2699f9e,F Grade (Standard 1 Day),c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,cebbfc32-43b8-41e1-98af-1f37bf827083,3rds X1,c2ca2910-4d37-4fec-aef4-a323770190fb,J Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,60fa7e5d-9797-4f62-9e95-dacab7aeb903,4ths X1,e42d99df-0875-4599-9e35-2d73842f5011,K Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,cc3cb6b6-6399-4596-b662-a8595a577f98,5th X1,af55010b-5c27-4ec5-85e4-904559db9205,M Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,e8b45519-8c03-4ed8-b739-6f5a71da1ef8,T20,baca46e8-7dc6-441b-8537-fde44f0713db,Victor Sports T20,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,3777d46c-88f1-40b5-8b1c-81b77b85b09e,1st X1,833d90e7-9c25-4421-a291-84b21b5a38e7,E Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,b2faefb8-12aa-4d79-a4f1-711f1d698c15,2nds X1,23323da1-1d85-4061-b674-b0cb5eed2536,F Grade,c9524a55-6632-ec11-981f-501ac52e1666,South East Cricket Association
